Color,StartTime,StartDate,EndTime,EndDate,Duration,MyColor,MyStartTime,MyEndTime
Amber,16:40,19-Apr-08,17:10,19-Apr-08,00 30,Yellow,60000000,61800000
Red,17:10,19-Apr-08,19:15,19-Apr-08,02 05,Red,61800000,69300000
Black,19:15,19-Apr-08,21:30,19-Apr-08,02 15,Black,69300000,77400000
Amber,09:05,29-May-08,11:40,29-May-08,02 35,Yellow,32700000,42000000
Amber,18:35,3-Jun-08,20:10,3-Jun-08,01 35,Yellow,66900000,72600000
Amber,13:20,6-Jun-08,16:10,6-Jun-08,02 50,Yellow,48000000,58200000
Amber,05:15,7-Jun-08,05:55,7-Jun-08,00 40,Yellow,18900000,21300000
Red,05:55,7-Jun-08,06:40,7-Jun-08,00 45,Red,21300000,24000000
Black,06:40,7-Jun-08,11:00,7-Jun-08,04 20,Black,24000000,39600000
Red,11:00,7-Jun-08,11:30,7-Jun-08,00 30,Red,39600000,41400000
Amber,11:30,7-Jun-08,13:30,7-Jun-08,02 00,Yellow,41400000,48600000
Amber,21:40,13-Jun-08,22:15,13-Jun-08,00 35,Yellow,78000000,80100000
Red,22:15,13-Jun-08,02:50,14-Jun-08,04 35,Red,80100000,96600000
Amber,02:50,14-Jun-08,04:10,14-Jun-08,01 20,Yellow,10200000,15000000
Amber,05:15,25-Jun-08,06:00,25-Jun-08,00 45,Yellow,18900000,21600000
Red,06:00,25-Jun-08,10:10,25-Jun-08,04 10,Red,21600000,36600000
Amber,10:10,25-Jun-08,12:20,25-Jun-08,02 10,Yellow,36600000,44400000
Amber,08:30,26-Jun-08,08:50,26-Jun-08,00 20,Yellow,30600000,31800000
Red,08:50,26-Jun-08,10:00,26-Jun-08,01 10,Red,31800000,36000000
Amber,17:35,6-Jul-08,19:20,6-Jul-08,01 45,Yellow,63300000,69600000
Amber,09:15,8-Jul-08,10:45,8-Jul-08,01 30,Yellow,33300000,38700000
Amber,06:35,10-Jul-08,11:15,10-Jul-08,04 40,Yellow,23700000,40500000
Amber,02:15,12-Jul-08,03:00,12-Jul-08,00 45,Yellow,8100000,10800000
Red,03:00,12-Jul-08,07:10,12-Jul-08,04 10,Red,10800000,25800000
Amber,07:10,12-Jul-08,07:45,12-Jul-08,00 35,Yellow,25800000,27900000
Amber,23:25,14-Jul-08,01:30,15-Jul-08,02 05,Yellow,84300000,91800000
Amber,07:15,8-Aug-08,09:05,8-Aug-08,01 50,Yellow,26100000,32700000
Amber,11:05,24-Sep-08,16:20,24-Sep-08,05 15,Yellow,39900000,58800000
Amber,08:50,5-Oct-08,11:30,5-Oct-08,02 40,Yellow,31800000,41400000
Amber,18:15,5-Oct-08,20:40,5-Oct-08,02 25,Yellow,65700000,74400000
Amber,14:00,5-Mar-09,15:00,5-Mar-09,01 00,Yellow,50400000,54000000
Amber,16:10,5-Mar-09,17:10,5-Mar-09,01 00,Yellow,58200000,61800000
Amber,08:20,24-Mar-09,09:30,24-Mar-09,01 10,Yellow,30000000,34200000
Amber,02:05,16-Apr-09,03:25,16-Apr-09,01 20,Yellow,7500000,12300000
Amber,10:20,25-Apr-09,12:40,25-Apr-09,02 20,Yellow,37200000,45600000
Amber,05:50,21-May-09,08:30,21-May-09,02 40,Yellow,21000000,30600000
Amber,16:45,23-May-09,19:00,23-May-09,02 15,Yellow,60300000,68400000
Amber,13:05,24-May-09,15:00,24-May-09,01 55,Yellow,47100000,54000000
Amber,00:20,4-Jun-09,01:10,4-Jun-09,00 50,Yellow,1200000,4200000
Red,01:10,4-Jun-09,02:10,4-Jun-09,01 00,Red,4200000,7800000
Amber,02:10,4-Jun-09,03:35,4-Jun-09,01 25,Yellow,7800000,12900000
Amber,06:15,11-Jun-09,08:40,11-Jun-09,02 25,Yellow,22500000,31200000
Amber,10:25,12-Jun-09,11:45,12-Jun-09,01 20,Yellow,37500000,42300000
Amber,01:05,6-Jul-09,04:20,6-Jul-09,03 15,Yellow,3900000,15600000
Amber,01:45,19-Jul-09,02:25,19-Jul-09,00 40,Yellow,6300000,8700000
Red,02:25,19-Jul-09,05:30,19-Jul-09,03 05,Red,8700000,19800000
Amber,20:40,5-Aug-09,23:00,5-Aug-09,02 20,Yellow,74400000,82800000
Amber,07:10,11-Aug-09,08:15,11-Aug-09,01 05,Yellow,25800000,29700000
Amber,19:15,13-Sep-09,20:30,13-Sep-09,01 15,Yellow,69300000,73800000
Amber,03:55,15-Sep-09,10:20,15-Sep-09,06 25,Yellow,14100000,37200000
Amber,17:55,15-Sep-09,19:45,15-Sep-09,01 50,Yellow,64500000,71100000
Amber,17:20,30-Sep-09,20:00,30-Sep-09,02 40,Yellow,62400000,72000000
Amber,06:35,7-May-10,08:25,7-May-10,01 50,Yellow,23700000,30300000
Amber,15:35,19-May-10,18:10,19-May-10,02 35,Yellow,56100000,65400000
Amber,05:10,10-Jun-10,06:25,10-Jun-10,01 15,Yellow,18600000,23100000
Amber,03:58,26-Jun-10,05:30,26-Jun-10,01 32,Yellow,14280000,19800000
Amber,12:50,27-Jun-10,13:55,27-Jun-10,01 05,Yellow,46200000,50100000
Amber,12:45,28-Jun-10,14:50,28-Jun-10,02 05,Yellow,45900000,53400000
Amber,16:35,22-Jul-10,17:20,22-Jul-10,00 45,Yellow,59700000,62400000
Red,17:20,22-Jul-10,17:30,22-Jul-10,00 10,Red,62400000,63000000
Black,17:30,22-Jul-10,19:50,22-Jul-10,02 20,Black,63000000,71400000
Amber,19:50,22-Jul-10,21:00,22-Jul-10,01 10,Yellow,71400000,75600000
Amber,14:30,28-Jul-10,15:15,28-Jul-10,00 45,Yellow,52200000,54900000
Red,15:15,28-Jul-10,15:35,28-Jul-10,00 20,Red,54900000,56100000
Black,15:35,28-Jul-10,17:00,28-Jul-10,01 25,Black,56100000,61200000
Red,17:00,28-Jul-10,18:10,28-Jul-10,01 10,Red,61200000,65400000
Amber,18:45,5-Aug-10,19:05,5-Aug-10,00 20,Yellow,67500000,68700000
Red,19:05,5-Aug-10,20:05,5-Aug-10,01 00,Red,68700000,72300000
Amber,14:15,28-Aug-10,15:50,28-Aug-10,01 35,Yellow,51300000,57000000
Amber,07:25,5-Sep-10,08:25,5-Sep-10,01 00,Yellow,26700000,30300000
Amber,00:10,9-Sep-10,00:40,9-Sep-10,00 30,Yellow,600000,2400000
Red,00:40,9-Sep-10,01:45,9-Sep-10,01 05,Red,2400000,6300000
